# WARNCELLID,NAME,LATLON
112054000,Stadt Potsdam,"52.4849368,13.1251172"
112060000,Kreis Barnim,"52.8010566,13.4963488"
112061000,Kreis Dahme-Spreewald,"52.40313775,13.44764684830248"
112062000,Kreis Elbe-Elster,"51.4296306,13.7059152"
112063000,Kreis Havelland,"51.6446753,7.1128016"
112064000,Kreis Märkisch-Oderland,"52.638301,13.8449923"
112065000,Kreis Oberhavel,"52.7438751,13.1744973"
112066000,Kreis Oberspreewald-Lausitz,"51.7466278,13.953923"
112067000,Kreis Oder-Spree,"52.370708750000006,14.053486967636994"
112068000,Kreis Ostprignitz-Ruppin,"52.9423176,12.3981094"
112069000,Kreis Potsdam-Mittelmark,"52.0808869,12.3227103"
112070000,Kreis Prignitz,"53.3329198,12.2454148"
112071000,Kreis Spree-Neiße,"51.7655526,14.2661347"
112072000,Kreis Teltow-Fläming,"52.09020975,13.160548664485997"
112073000,Kreis Uckermark,"51.6465221,7.1156782"
113003000,Hansestadt Rostock,"54.0833,12.1333"
113004000,Stadt Schwerin,"53.6288297,11.4148038"
113071000,Kreis Mecklenburgische Seenplatte,"53.906273049999996,13.030095616549291"
113072000,Kreis Rostock,"54.073728849999995,10.771180308191429"
113073000,Kreis Vorpommern-Rügen,"54.329099,12.7425291"
113074000,Kreis Nordwestmecklenburg,"53.7999311,10.9989234"
113075000,Kreis Vorpommern-Greifswald,"53.4983182,13.990243757463352"
113076000,Kreis Ludwigslust-Parchim,"53.3761834,10.7186702"
114511000,Stadt Chemnitz,"50.82857275,12.915209245066158"
114521000,Erzgebirgskreis,"50.6018498,12.956783460886657"
114522000,Kreis Mittelsachsen,"50.90472525,13.367115949999999"
114523000,Vogtlandkreis,"50.424055100000004,12.252434849999727"
114524000,Kreis Zwickau,"50.7272852,12.4171147"
114612000,Stadt Dresden,"51.0704343,13.763011230852843"
114625000,Kreis Bautzen,"51.1841142,14.3734269"
114626000,Kreis Görlitz,"51.2918957,6.8245473"
114627000,Kreis Meißen,"52.2685572,8.9544086"
114628000,Kreis Sächsische Schweiz-Osterzgebirge,"50.9030623,13.6315438"
114713000,Stadt Leipzig,"51.328722,12.3484446"
114729000,Kreis Leipzig,"51.2911091,6.8264811"
114730000,Kreis Nordsachsen,"51.5618029,12.981466879774445"
115001000,Stadt Dessau-Roßlau,"51.7892487,12.2374226"
115002000,Stadt Halle (Saale),"51.4806977,11.971959604467887"
115003000,Stadt Magdeburg,"52.127156,11.638162504529834"
115081000,Altmarkkreis Salzwedel,"52.6911174,11.2303736"
115082000,Kreis Anhalt-Bitterfeld,"51.7363509,12.003942"
115083000,Kreis Börde,"51.9955729,11.1945516"
115084000,Burgenlandkreis,"51.12906475,11.851558102170362"
115085000,Kreis Harz,"51.9188077,9.2027931"
115086000,Kreis Jerichower Land,"52.2726088,11.842639096339092"
115087000,Kreis Mansfeld-Südharz,"51.4426239,11.1955698"
115088000,Saalekreis,"51.4546989,11.850501942841106"
115089000,Salzlandkreis,"51.850979949999996,11.600462179820752"
115090000,Kreis Stendal,"51.2915436,6.8154698"
115091000,Kreis Wittenberg,"51.4812541,9.1659241"
116051000,Stadt Erfurt,"50.97866775,11.029248140781498"
116052000,Stadt Gera,"50.9057416,12.1203652"
116053000,Stadt Jena,"50.93035425,11.591657833519783"
116054000,Stadt Suhl,"50.9384246,10.0702031"
116055000,Stadt Weimar,"50.983479,11.3233894"
116056000,Stadt Eisenach,"50.97492,10.3246033"
116061000,Kreis Eichsfeld,"51.1646743,10.5737997"
116062000,Kreis Nordhausen,"51.411038,10.7671742"
116063000,Wartburgkreis,"50.8903377,10.241270021910985"
116064000,Unstrut-Hainich-Kreis,"51.1880771,10.573759716403169"
116065000,Kyffhäuserkreis,"51.31461125,10.838226333260048"
116066000,Kreis Schmalkalden-Meiningen,"50.6215952,10.1158014"
116067000,Kreis Gotha,"50.82924095,10.8431425503715"
116068000,Kreis Sömmerda,"51.1728268,11.0695036"
116069000,Kreis Hildburghausen,"50.5600738,10.7380837"
116070000,Ilm-Kreis,"50.73144175,10.930792129321897"
116071000,Kreis Weimarer Land,"50.9563735,11.2615111"
116072000,Kreis Sonneberg,"50.55090525,11.465994836835367"
116073000,Kreis Saalfeld-Rudolstadt,"50.55090525,11.465994836835367"
116074000,Saale-Holzland-Kreis,"50.9166089,11.80970505740581"
116075000,Saale-Orla-Kreis,"50.58645455,11.77617418194042"
116076000,Kreis Greiz,"50.6306956,12.1072202"
116077000,Kreis Altenburger Land,"50.9566152,12.2909249"
501000001,Ostfriesische Küste,"53.4284423,6.8494497"
501000002,Helgoland,"54.18004525,7.885362101180695"
501000003,Elbe-/Wesermündung,"53.5429875,8.5057033"
501000004,Elbe von Hamburg bis Cuxhaven,"53.9140774,9.0811573"
501000005,Nordfriesische Küste,"54.6647746,8.2180237"
501000006,Flensburg bis Fehmarn,"54.6238209,10.5349314"
501000007,Östlich Fehmarn bis Rügen,"54.3823054,12.0750267"
501000008,Östlich Rügen,"54.2809487,13.8725929"
